Vendor,WEEK_NBR,Item,Description,Size,UPC,DC,Active Flag,AIM STR CNT,AIM INSTK STORE CNT,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,Store TIL,Need for Store TIL
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,AL,Y,495,488,98.6%,49,54,1167,786,59
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,CR,Y,314,312,99.4%,64,0,751,485,22
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,DT,Y,453,439,96.9%,54,0,1232,686,24
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,EN,Y,318,307,96.5%,66,0,633,478,39
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,FL,Y,292,286,97.9%,1,60,635,451,23
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,IN,Y,666,658,98.8%,13,60,1649,982,18
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,LA,Y,618,612,99.0%,18,192,1426,1035,58
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,MA,Y,318,309,97.2%,21,42,825,416,18
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,NJ,Y,685,639,93.3%,0,90,1488,826,64
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,OR,Y,425,418,98.4%,85,54,915,702,45
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,PA,Y,468,457,97.6%,38,78,1045,667,19
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,SC,Y,479,469,97.9%,32,72,1067,738,46
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,TN,Y,389,383,98.5%,103,0,958,632,18
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,UC,Y,418,411,98.3%,72,24,1173,594,18
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,WN,Y,591,553,93.6%,0,168,1139,760,56
10008,201151,276778,CVS WRKL THRPY,6 Z,5042806495,YK,Y,296,280,94.6%,0,24,656,388,23
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,AL,Y,497,477,96.0%,32,180,1044,708,37
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,CR,Y,314,304,96.8%,202,0,742,432,19
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,DT,Y,450,439,97.6%,141,0,1373,624,15
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,EN,Y,318,290,91.2%,18,0,646,437,48
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,FL,Y,291,277,95.2%,1,132,511,373,20
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,IN,Y,662,650,98.2%,170,0,2010,913,16
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,LA,Y,617,594,96.3%,137,36,1136,913,49
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,MA,Y,318,284,89.3%,0,72,570,380,39
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,NJ,Y,685,661,96.5%,257,0,1416,783,28
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,OR,Y,424,418,98.6%,119,48,1017,617,21
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,PA,Y,470,457,97.2%,104,0,1284,626,18
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,SC,Y,479,470,98.1%,83,108,1108,674,24
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,TN,Y,389,381,97.9%,56,0,1100,575,10
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,UC,Y,419,404,96.4%,152,180,768,523,24
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,WN,Y,591,571,96.6%,217,60,1217,726,24
10008,201151,330002,CVS DRK CRL CRM,.8Z,5042848339,YK,Y,296,284,95.9%,34,36,767,369,15
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,AL,Y,497,481,96.8%,179,48,1081,628,28
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,CR,Y,314,304,96.8%,158,0,658,373,16
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,DT,Y,453,443,97.8%,187,0,975,580,16
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,EN,Y,320,310,96.9%,149,0,672,374,17
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,FL,Y,289,278,96.2%,101,96,677,428,20
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,IN,Y,669,656,98.1%,211,168,1579,844,26
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,LA,Y,619,601,97.1%,189,504,1319,780,37
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,MA,Y,318,310,97.5%,158,180,763,473,31
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,NJ,Y,683,645,94.4%,341,192,1508,886,73
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,OR,Y,433,427,98.6%,58,192,1082,546,20
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,PA,Y,470,458,97.4%,207,132,990,629,24
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,SC,Y,481,469,97.5%,183,108,1058,625,20
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,TN,Y,389,376,96.7%,204,0,821,526,20
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,UC,Y,452,432,95.6%,2474,108,1158,595,39
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,WN,Y,590,568,96.3%,24,456,1372,779,45
10127,201151,249816,CVS SCAR GEL,.7Z,5042805405,YK,Y,296,287,97.0%,17,84,662,390,17
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,AL,Y,497,489,98.4%,159,108,1439,1022,44
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,CR,Y,315,312,99.0%,213,0,963,674,35
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,DT,Y,451,447,99.1%,151,0,1362,913,30
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,EN,Y,320,315,98.4%,163,0,859,652,32
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,FL,Y,290,286,98.6%,110,168,918,726,39
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,IN,Y,667,661,99.1%,133,72,2154,1360,52
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,LA,Y,623,614,98.6%,798,0,1904,1338,80
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,MA,Y,316,313,99.1%,0,192,1013,655,37
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,NJ,Y,689,680,98.7%,1534,0,2415,1401,49
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,OR,Y,429,425,99.1%,34,180,1448,948,44
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,PA,Y,468,464,99.1%,247,156,1377,949,38
10127,201151,308266,CVS BURN SPRAY,4.5Z,5042807099,SC,Y,481,478,99.4%,160,96,1564,975,23
