Prime Item Nbr,Prime Item Desc,Item Type,Fineline,Unit Retail,Unit Cost,MU %,Est. POS Store Count,POS Qty,POS Sales,Avg On Hand Qty,Avg Traited Store Count,Avg Repl Store Count,Avg Instock Store Count,Instock %,WM Week
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,956,1363,2652.64,23843,3976,3957,3595,0.908517,201301
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,990,1366,2653.18,23602,3978,3949,3417,0.865282,201302
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,991,1377,2493.72,22090,3981,3686,2996,0.812805,201303
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,1310,2053,3111.05,20114,25,25,17,0.68,201304
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,1082,2029,2591.35,18537,26,26,17,0.653846,201305
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,1173,2981,2972.67,15757,26,26,17,0.653846,201306
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,857,1993,1966.04,13741,26,26,15,0.576923,201307
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,551,1434,1408.26,12323,0,0,0,0,201308
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,395,879,918.22,10801,0,0,0,0,201309
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,281,555,859.92,10018,0,0,0,0,201310
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,313,489,812.08,9194,0,0,0,0,201311
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,265,571,856.91,8682,0,0,0,0,201312
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,277,495,730.76,8260,0,0,0,0,201313
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,324,776,654.51,7010,0,0,0,0,201314
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,240,762,190.17,5672,0,0,0,0,201315
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,149,274,108.25,5169,0,0,0,0,201316
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,154,266,146.23,4962,0,0,0,0,201317
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,136,246,139.24,4774,0,0,0,0,201318
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,135,282,156.72,4501,0,0,0,0,201319
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,131,239,100.18,4239,0,0,0,0,201320
4000902,CHIGGEREX OINTMENT,33,3512,1.94,1.35,0.304124,125,298,140.08,4057,0,0,0,0,201321
