Item,AIM Store Cnt,Instock Store Cnt,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,TIL,Need for TIL
276778,798,798,1,0,0,924,797,56
276778,772,772,1,0,0,690,768,159
276778,1347,1347,1,0,0,991,898,146
276778,980,980,1,0,0,793,971,232
276778,927,927,1,0,0,538,616,120
276778,1286,1286,1,46,0,1346,1283,153
276778,2307,2307,1,0,0,1763,1522,114
276778,652,652,1,0,0,764,651,81
276778,1968,1968,1,0,0,1645,1338,128
276778,738,738,1,0,0,683,737,120
276778,948,948,1,0,0,952,946,120
276778,1014,1014,1,0,0,1091,1014,122
276778,894,894,1,0,0,1053,892,118
276778,676,676,1,0,0,898,678,41
276778,1218,1218,1,0,0,973,1256,274
276778,1236,1236,1,0,0,893,823,80
973899,19,19,1,7,228,3,38,19
200964,398,387,0.972,505,576,878,803,56
200964,381,369,0.967,327,1944,760,778,68
200964,318,309,0.972,791,0,757,688,64
200964,605,584,0.966,1010,1584,1441,1341,130
213140,399,381,0.954,957,360,1004,953,100
213140,390,380,0.973,852,0,1027,917,72
213140,325,314,0.965,665,360,1065,929,72
213140,612,596,0.973,1532,1440,2100,1789,130
237741,399,390,0.977,2,1296,1165,1556,279
237741,387,378,0.976,581,576,1258,1477,196
237741,449,444,0.989,4172,0,1546,1604,136
237741,489,480,0.982,2244,0,1601,1825,251
237741,310,305,0.983,3140,0,1192,1322,161
237741,639,631,0.987,1578,5976,2215,2399,225
237741,757,741,0.979,1758,1656,2208,2527,365
237741,324,301,0.929,6,1008,1157,1536,214
237741,652,642,0.984,3275,4032,3410,3899,348
237741,368,348,0.944,0,864,1040,1540,271
237741,472,465,0.986,3234,0,1643,1822,171
237741,504,494,0.98,254,936,1701,2049,298
237741,443,437,0.987,415,2160,1489,1696,178
237741,336,331,0.986,1123,0,1049,1130,95
237741,604,597,0.989,2417,2520,2998,3288,309
237741,405,400,0.987,5929,0,1911,2018,199
237755,399,360,0.902,2,936,898,1496,332
237755,387,380,0.982,16,504,1268,1438,179
237755,449,444,0.989,0,288,1304,1534,223
237755,489,478,0.978,31,936,1625,1823,219
237755,310,304,0.979,1694,0,1134,1234,154
237755,640,583,0.912,2,1008,1462,2364,479
237755,790,768,0.972,538,1584,2628,2968,360
237755,324,311,0.959,556,504,1211,1504,204
237755,652,645,0.99,1762,504,2904,3233,322
237755,368,364,0.99,0,936,1414,1618,195
237755,472,364,0.771,0,1224,781,1895,418
237755,504,300,0.595,0,1008,633,1970,460
237755,443,315,0.711,0,864,663,1699,403
237755,336,281,0.836,0,576,636,1140,267
237755,604,562,0.93,0,1080,1961,2767,417
