basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,400,377,0,114,894,800,72
276778,385,331,0,228,679,773,166
276778,448,394,0,228,950,896,163
276778,481,390,0,336,756,976,252
276778,308,263,0,0,503,616,136
276778,638,594,46,216,1293,1279,182
276778,767,710,0,0,1705,1524,158
276778,325,292,0,150,725,654,102
276778,651,585,0,288,1536,1338,175
276778,369,315,0,210,638,737,144
276778,474,422,0,216,910,951,146
276778,507,470,0,0,1031,1015,146
276778,446,401,0,204,987,892,144
276778,341,322,0,96,882,683,57
276778,608,476,0,492,898,1258,312
276778,410,363,0,180,818,823,116
973898,40,40,0,24,0,80,40
973899,390,366,0,132,703,777,53
973899,380,344,156,60,656,768,69
973899,435,415,144,24,818,859,47
973899,484,464,133,0,952,964,34
973899,300,286,155,0,563,598,25
973899,626,600,141,48,1222,1239,44
973899,766,688,202,276,1699,1523,83
973899,299,299,744,0,9,579,295
973899,586,559,257,0,1135,1093,49
973899,344,316,77,24,639,688,34
973899,462,449,142,0,890,904,32
973899,500,470,136,0,924,959,49
973899,446,429,74,36,889,878,26
973899,322,316,146,72,652,647,14
973899,554,520,361,36,1022,1050,80
973899,390,368,95,120,775,735,25
973901,390,364,236,120,826,521,43
973901,380,352,275,0,800,557,44
973901,436,420,426,0,983,540,22
973901,483,465,419,0,1096,669,29
973901,299,286,312,0,672,375,18
973901,625,597,514,0,1382,839,32
973901,765,746,306,0,2190,1107,43
973901,301,301,1008,0,8,364,296
973901,583,554,600,0,1281,702,49
973901,344,315,237,0,738,492,26
973901,462,448,423,0,1043,622,24
973901,500,482,461,0,1123,619,23
973901,446,433,127,0,1265,620,18
973901,322,315,274,36,737,400,10
973901,557,521,682,0,1229,727,55
973901,390,381,444,0,886,461,15
200964,399,396,792,288,993,823,26
200964,383,335,2061,0,720,806,122
200964,318,311,715,432,875,772,52
200964,605,597,2277,0,1706,1507,93
213140,400,396,619,720,1430,1019,62
213140,392,383,600,0,1500,957,50
213140,325,321,414,360,1848,1035,39
213140,612,609,1988,720,4999,1920,44
237741,400,396,589,72,1498,1561,166
237741,390,387,804,864,1459,1496,123
237741,448,446,3569,0,1606,1594,98
237741,494,490,1264,0,1872,1843,145
237741,310,307,2468,0,1413,1329,99
237741,639,637,6446,0,2368,2407,169
237741,761,752,2168,648,2501,2545,265
237741,324,228,765,792,683,1543,275
237741,655,648,4793,0,3485,3931,323
237741,368,361,27,1080,1494,1543,119
237741,473,467,2346,0,1682,1828,167
237741,505,501,192,504,1956,2053,221
237741,443,441,1922,0,1649,1693,123
237741,339,335,665,432,1153,1146,64
237741,604,598,2660,0,3132,3284,262
237741,405,403,5070,0,2034,2024,166
237755,400,392,0,720,1408,1488,153
237755,390,365,0,432,1317,1446,151
237755,448,395,42,1440,1045,1525,263
237755,492,422,347,1512,1361,1837,266
237755,310,307,1554,0,1299,1227,91
237755,638,584,0,1080,1819,2358,318
237755,793,778,927,864,2957,3030,283
237755,324,282,360,1152,909,1513,238
237755,655,650,2600,360,2969,3258,296
237755,369,361,307,864,1545,1634,141
