Vendor,Fiscal Week,Cat,Item,Description,Size,UPC,DC,AIM Store Cnt,Instock Store Cnt,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,TIL,Need for TIL,Unit Cost
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,AL,402,400,99.6%,14,6,1011,803,4,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,CR,395,391,99.0%,60,0,1027,788,17,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,DT,449,448,99.7%,67,0,1253,898,5,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,EN,506,503,99.5%,66,0,1340,1007,11,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,FL,313,305,97.4%,2,42,936,625,14,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,IN,648,647,99.8%,49,0,1706,1298,14,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,LA,774,770,99.5%,48,54,2683,1533,18,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,MA,335,334,99.6%,0,18,989,669,6,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,NJ,662,632,95.5%,51,66,2100,1352,54,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,OR,368,367,99.8%,0,30,954,736,3,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,PA,477,475,99.6%,17,0,1248,953,11,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,SC,509,505,99.3%,30,0,1314,1018,17,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,TN,448,446,99.6%,76,0,1276,896,11,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,UC,345,341,98.9%,0,30,1224,689,4,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,WN,609,582,95.5%,0,168,1685,1260,57,8.42
10008,201452,66,276778,CVS WRKL THPY,5Z,5042806495,YK,423,421,99.5%,6,18,1278,836,8,8.42
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,AL,398,395,99.2%,70,0,881,422,2,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,CR,390,389,99.7%,52,0,892,416,3,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,DT,443,438,98.9%,7,36,1019,471,5,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,EN,499,491,98.3%,3,60,1146,530,2,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,FL,307,303,98.8%,0,60,822,319,4,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,IN,624,621,99.6%,0,84,1373,678,10,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,LA,783,779,99.4%,33,144,2474,872,6,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,MA,321,310,96.7%,65,12,747,340,15,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,NJ,635,601,94.7%,115,84,1543,696,41,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,OR,362,357,98.7%,35,0,806,382,6,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,PA,466,462,99.1%,0,72,1055,511,11,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,SC,488,486,99.6%,41,0,1081,528,4,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,TN,431,425,98.7%,0,60,917,490,7,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,UC,332,329,99.2%,17,36,974,346,2,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,WN,587,583,99.3%,46,36,1692,685,5,8.15
10008,201452,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,YK,398,372,93.4%,137,72,912,421,37,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,AL,394,394,100.0%,48,0,949,454,3,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,CR,387,386,99.7%,203,0,954,432,6,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,DT,434,434,100.0%,178,0,1186,459,0,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,EN,499,498,99.8%,265,0,1321,567,5,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,FL,304,303,99.6%,115,0,934,310,2,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,IN,625,625,100.0%,318,0,1592,723,1,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,LA,779,778,99.9%,213,0,2870,848,2,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,MA,305,304,99.7%,162,0,827,325,2,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,NJ,592,591,99.8%,76,48,1842,624,2,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,OR,343,342,99.7%,2,36,892,357,1,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,PA,458,456,99.5%,245,0,1234,489,2,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,SC,487,487,100.0%,43,0,1223,531,4,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,TN,436,434,99.5%,240,0,1123,474,1,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,UC,324,324,99.9%,129,0,1109,357,0,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,WN,557,555,99.7%,131,48,1845,605,1,8.15
10008,201452,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,YK,392,391,99.8%,181,0,1231,401,1,8.15
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,AL,394,393,99.8%,37,0,1044,394,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,CR,387,386,99.8%,129,0,1056,389,1,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,DT,434,433,99.8%,189,0,1229,434,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,EN,498,498,100.0%,201,0,1461,499,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,FL,304,303,99.7%,83,0,991,308,1,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,IN,625,625,99.9%,229,0,1685,626,1,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,LA,780,778,99.7%,85,144,3126,825,3,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,MA,307,306,99.6%,103,0,796,310,1,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,NJ,592,590,99.7%,81,60,1892,628,3,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,OR,343,342,99.8%,86,0,942,344,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,PA,458,456,99.6%,177,0,1333,464,1,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,SC,487,486,99.8%,135,0,1314,487,1,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,TN,434,433,99.8%,118,0,1376,434,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,UC,324,324,99.9%,96,0,1132,338,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,WN,557,556,99.8%,161,36,1888,614,0,4.48
10008,201452,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,YK,392,392,100.0%,169,0,1260,408,0,4.48
10127,201452,6,200964,CVS MUSCLE RUB,3Z,5042848018,AL,401,398,99.3%,113,288,1258,815,20,2
10127,201452,6,200964,CVS MUSCLE RUB,3Z,5042848018,CR,393,388,98.7%,395,0,1184,823,35,2
10127,201452,6,200964,CVS MUSCLE RUB,3Z,5042848018,MA,328,324,98.6%,124,432,1245,730,11,2
10127,201452,6,200964,CVS MUSCLE RUB,3Z,5042848018,WN,606,599,98.9%,956,0,2293,1367,29,2
10127,201452,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,AL,402,391,97.3%,169,720,1565,834,39,1.38
10127,201452,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,CR,401,392,97.7%,0,720,1680,848,44,1.38
10127,201452,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,MA,335,332,99.2%,196,720,1815,777,16,1.38
10127,201452,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,WN,613,608,99.2%,1014,1080,4094,1454,19,1.38
