Basis,Point of Sale,Balance On Hand,Aim Store Count,Instock Store Count,Date
4000909,10862,28203,4047,3943,201405
4000909,10903,34291,4055,4019,201406
4000909,10811,32580,4052,4031,201407
4000909,10096,27438,4052,4017,201408
4000909,10137,24455,4056,4011,201409
4000909,10068,23319,4062,4012,201410
4000909,9787,22780,4065,4021,201411
4000909,9327,22657,4068,4026,201412
4000909,9643,21773,4071,4021,201413
4000909,9447,21062,4070,4012,201414
4000909,9238,19980,4076,4006,201415
4000909,8885,18850,4085,3995,201416
4000909,9099,17479,4086,3895,201417
4000909,9652,18559,4089,3990,201418
4000909,9993,18431,4094,3987,201419
4000909,10150,18371,4096,3988,201420
4000909,9952,19114,4099,4008,201421
4000909,10291,18683,4098,3988,201422
4000909,10111,18509,4097,3989,201423
4000909,10010,18728,4112,4024,201424
4000909,9709,18897,4116,4026,201425
4000909,9735,18919,4119,4023,201426
4000909,9650,18994,4124,4052,201427
4000909,9576,18888,4140,4059,201428
4000909,9277,19313,4148,4077,201429
4000909,9510,18698,4148,4065,201430
4000909,9494,18915,4148,4069,201431
4000909,9375,19050,4153,4065,201432
4000909,9078,19185,4155,4088,201433
4000909,8752,19057,4158,4097,201434
4000909,9236,18716,4162,4079,201435
4000909,8775,17662,4167,4061,201436
4000909,8709,18089,4173,4066,201437
4000909,8561,17534,4182,4059,201438
4000909,8333,18916,4184,4106,201439
4000909,8954,18666,4196,4091,201440
4000909,8714,18835,4194,4113,201441
4000909,8294,18826,4196,4105,201442
4000909,7916,18650,4196,4097,201443
4000909,9239,17924,4197,4065,201444
4000909,9074,18604,4207,4119,201445
4000909,9019,18458,4213,4082,201446
4000909,7773,16985,4212,4060,201447
4000909,9567,15106,4212,3935,201448
4000909,9017,17034,4232,4067,201449
4000909,9737,17360,4238,4084,201450
4000909,9899,17281,4264,4107,201451
4000909,9734,17457,4289,4143,201452
4000909,10525,21113,4288,4024,201501
4000909,10530,18542,4288,4107,201502
4000909,9741,17677,4289,4105,201503
4000909,10240,16920,4290,4099,201504
4000909,1660,16920,4290,4099,201505
550168489,5133,25380,4158,4065,201405
550168489,4925,25708,4166,4081,201406
550168489,4613,26828,4163,4099,201407
550168489,4590,25935,4165,4093,201408
550168489,4565,25757,4169,4113,201409
550168489,4596,24873,4175,4110,201410
550168489,4458,24286,4178,4104,201411
550168489,4198,24071,4181,4125,201412
550168489,4394,23276,4182,4105,201413
550168489,4317,21785,4182,4071,201414
550168489,4330,20845,4188,4061,201415
550168489,4073,19195,4197,4051,201416
550168489,4050,18471,4198,3991,201417
550168489,4495,20246,4200,4103,201418
550168489,4694,19693,4204,4084,201419
550168489,4747,19596,4207,4091,201420
550168489,4558,19770,4208,4096,201421
550168489,4647,20329,4208,4114,201422
550168489,4488,19677,4209,4073,201423
550168489,4514,20436,4225,4134,201424
550168489,4392,20214,4228,4126,201425
550168489,4196,20669,4230,4120,201426
550168489,4357,21169,4235,4136,201427
550168489,4299,20728,4252,4184,201428
550168489,4188,20985,4259,4178,201429
550168489,4168,20863,4260,4163,201430
550168489,4046,21007,4260,4176,201431
550168489,4082,21875,4266,4201,201432
550168489,3976,21478,4266,4190,201433
550168489,3930,21343,4268,4199,201434
550168489,3962,21528,4272,4213,201435
550168489,3811,21983,4277,4218,201436
550168489,4008,22019,4281,4223,201437
