Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,521,485,27,18,1013,610,40
276778,339,328,16,30,623,414,11
276778,478,472,63,54,1119,577,8
276778,349,343,11,30,690,400,7
276778,296,289,15,48,499,344,8
276778,719,677,109,24,1424,854,44
276778,739,710,11,234,1458,997,36
276778,328,309,0,60,682,390,23
276778,710,686,3,186,1470,932,27
276778,438,424,9,48,781,495,15
276778,442,429,84,36,829,575,18
276778,489,477,32,24,920,560,13
276778,394,369,45,0,916,522,33
276778,351,330,34,12,767,414,22
276778,605,590,42,150,1077,838,16
276778,351,310,0,78,643,423,45
237741,521,508,54,1584,1477,1050,40
237741,341,313,0,576,905,696,71
237741,477,415,0,1008,857,955,164
237741,353,289,0,1152,587,712,151
237741,296,103,0,0,220,679,237
237741,713,615,2,2664,1561,1444,235
237741,760,634,0,4824,1402,1763,298
237741,327,313,1286,0,900,668,28
237741,711,663,0,3168,1595,1468,201
237741,438,388,0,2952,1112,945,134
237741,438,314,0,1800,576,879,240
237741,486,470,1434,1944,1048,979,52
237741,387,303,0,1008,642,775,178
237741,347,298,0,0,619,719,131
237741,600,593,0,2592,1330,1235,61
237741,344,295,0,1368,601,694,129
237755,521,509,710,1224,1222,1058,58
237755,341,291,0,1008,779,706,110
237755,477,472,525,864,1414,966,17
237755,353,291,0,792,605,716,155
237755,296,170,0,2016,325,701,210
237755,713,691,0,2376,2137,1470,83
237755,760,682,0,3024,1607,1851,273
237755,327,324,1097,2880,1198,678,21
237755,711,685,0,2592,2150,1479,89
237755,438,380,0,2304,1191,1015,125
237755,438,423,0,2520,1403,893,49
237755,486,468,0,1296,1568,1002,52
237755,387,379,159,864,920,777,34
237755,347,342,448,1440,929,722,43
237755,600,597,552,1656,1960,1222,31
237755,344,344,46,1296,919,695,20
249816,521,502,405,0,913,591,25
249816,345,332,131,72,759,472,28
249816,478,456,127,144,1021,528,24
249816,354,341,110,48,855,510,21
249816,296,289,70,240,811,493,16
249816,720,686,268,312,1368,807,43
249816,760,700,457,348,1539,1112,95
249816,328,310,166,288,789,468,34
249816,714,673,230,516,1785,990,58
249816,439,430,79,264,1067,704,23
249816,443,432,347,0,901,503,19
249816,489,471,144,120,995,544,23
249816,394,379,152,0,762,423,16
249816,351,332,298,0,649,432,33
249816,608,585,202,144,1614,878,37
249816,350,338,89,180,823,403,13
308266,521,519,222,120,1287,1063,50
308266,345,337,233,96,931,737,28
308266,478,477,185,168,1985,974,17
308266,355,353,93,132,1055,749,18
308266,296,295,93,420,860,682,22
308266,725,700,108,480,2152,1469,78
308266,764,697,0,1332,1928,1756,195
308266,328,321,172,60,929,710,25
308266,718,712,136,516,2450,1490,50
308266,437,431,68,180,1424,962,33
308266,443,439,245,288,1390,906,20
308266,489,487,109,84,1683,1000,24
308266,396,393,98,0,1125,801,21
308266,352,315,87,144,722,735,109
308266,614,609,191,216,2355,1299,27
308266,351,351,79,24,966,705,21
460400,521,517,1332,0,2253,2088,112
460400,345,341,343,228,1502,1360,72
460400,478,474,290,108,1967,1912,160
460400,354,354,378,144,1588,1415,66
460400,296,296,37,288,1278,1199,75
460400,720,714,576,0,3009,2873,214
460400,752,743,52,768,3245,3079,188
460400,328,326,106,444,1547,1313,48
460400,714,707,376,264,3193,2860,172
460400,439,435,0,324,1881,1757,132
460400,443,442,415,60,1926,1772,101
460400,489,488,134,72,2153,1961,92
460400,394,392,297,0,1650,1572,103
460400,351,350,34,288,1631,1404,38
460400,608,606,124,168,2767,2423,121
460400,350,350,277,0,1575,1402,69
460403,521,519,633,0,2346,2084,95
460403,342,338,518,0,1535,1348,54
460403,475,475,206,120,2135,1900,94
460403,350,350,241,120,1612,1401,58
460403,296,295,87,456,1298,1220,71
460403,717,714,370,0,3221,2856,123
460403,751,745,160,576,3285,3103,164
460403,323,323,284,72,1573,1302,45
460403,702,701,515,324,3222,2806,149
460403,437,436,566,0,1898,1753,95
460403,441,441,471,0,1996,1767,86
460403,489,489,184,132,2222,1960,93
460403,394,393,182,0,1714,1572,87
460403,348,346,726,0,1512,1388,46
460403,601,600,140,120,2845,2397,95
460403,349,348,1524,0,1622,1398,61
460423,521,520,334,144,2259,2085,115
460423,344,342,166,120,1503,1359,69
460423,477,476,224,72,2097,1908,108
460423,351,351,40,168,1527,1406,76
460423,296,296,149,372,1257,1200,81
460423,720,709,312,288,3054,2864,211
460423,722,714,30,804,2773,2879,235
460423,328,327,49,216,1517,1311,53
460423,711,705,0,648,3316,2844,164
460423,439,439,252,0,1992,1758,109
460423,443,443,227,96,1916,1775,103
460423,489,371,2280,0,1056,1958,387
460423,394,391,183,0,1726,1570,100
460423,351,349,316,0,1394,1397,50
460423,608,606,232,132,2892,2423,138
460423,349,349,276,0,1588,1396,74
689296,511,491,84,180,1104,1026,88
689296,341,337,144,48,805,687,31
689296,459,446,187,360,1011,922,59
689296,353,343,167,156,783,706,36
689296,295,291,206,276,728,608,25
689296,684,672,376,552,1525,1370,76
689296,735,717,164,972,1646,1540,121
689296,318,311,172,288,811,663,39
689296,698,687,194,660,1829,1428,64
689296,434,428,286,0,1138,884,25
689296,427,419,605,48,1137,864,41
689296,472,470,195,84,1220,954,28
689296,373,366,239,0,942,748,36
689296,344,338,330,0,749,702,36
689296,581,572,258,240,1347,1178,68
689296,326,322,333,324,722,664,42
716887,519,510,492,192,1403,1081,43
716887,344,338,462,144,1008,739,36
716887,478,469,376,132,1312,979,39
716887,347,341,330,72,1006,728,33
716887,292,284,107,840,865,737,46
716887,719,704,830,360,1961,1461,62
716887,754,718,735,648,1882,1852,164
716887,327,323,439,96,1002,779,37
716887,716,700,735,528,2244,1692,74
716887,434,425,624,0,1246,989,51
716887,443,439,1125,0,1249,930,34
716887,489,484,310,24,1313,1005,35
716887,394,389,131,144,1020,794,33
716887,351,344,617,0,956,741,24
716887,611,604,526,144,1718,1302,66
716887,351,349,248,60,961,740,31
850624,521,520,377,60,1655,1047,7
850624,345,343,503,0,1093,693,8
850624,478,478,1802,0,1450,956,7
850624,354,353,294,48,1094,712,11
850624,296,293,33,228,818,605,9
850624,720,714,410,60,2500,1441,11
850624,738,725,381,744,2097,1533,52
850624,328,328,543,0,1132,658,2
850624,714,708,626,0,5751,1451,18
850624,439,438,205,0,1321,890,18
850624,443,441,831,0,1503,892,6
850624,489,487,602,0,1548,982,11
850624,394,391,565,0,1275,790,7
850624,351,346,276,0,886,704,27
850624,609,606,1284,0,2369,1226,6
850624,350,349,2756,0,1072,705,13
868171,521,519,116,0,1131,1052,31
868171,345,344,38,0,776,683,24
868171,478,477,81,0,1057,957,25
868171,355,353,62,24,791,711,17
868171,296,295,8,0,703,595,17
868171,722,688,136,0,1483,1435,125
868171,583,575,49,300,1242,1164,43
868171,328,328,237,0,892,663,16
868171,715,704,117,0,1790,1435,48
868171,438,434,0,0,947,879,31
868171,443,439,66,0,1001,889,26
868171,489,487,0,0,1127,979,29
868171,395,390,83,0,879,784,21
868171,351,344,71,0,821,698,41
868171,612,604,65,0,1408,1222,49
868171,351,351,63,0,870,705,17
920128,517,509,66,0,971,519,7
920128,328,324,58,0,644,339,3
920128,474,469,90,0,875,474,5
920128,336,332,24,0,648,349,3
920128,274,273,186,0,648,337,0
920128,713,699,64,0,1284,703,2
920128,714,699,374,0,1608,713,10
920128,316,311,132,0,811,316,3
920128,663,648,273,0,1711,665,12
920128,414,413,192,0,942,459,0
920128,431,426,48,0,853,430,4
920128,487,483,42,0,1015,491,4
920128,392,389,73,0,676,391,2
920128,347,344,192,0,674,343,1
920128,550,544,350,0,1403,547,2
920128,339,333,98,0,759,337,4
936445,520,516,120,24,1147,1038,9
936445,345,339,54,36,745,676,9
936445,478,472,102,36,1030,953,10
936445,355,345,65,36,773,700,7
936445,296,293,194,0,690,605,8
936445,725,708,167,84,1648,1443,10
936445,724,707,123,156,1651,1460,19
936445,328,318,0,108,728,667,25
936445,718,700,74,168,1643,1442,13
936445,438,428,197,0,970,888,12
936445,443,438,168,0,1013,896,5
936445,489,487,111,0,1094,984,8
936445,398,392,121,0,869,788,2
936445,350,346,133,0,836,720,6
936445,616,594,206,0,1452,1217,10
936445,350,349,66,24,794,711,6
936447,520,514,117,24,1149,1031,12
936447,345,338,56,48,782,671,6
936447,478,475,92,24,1052,952,6
936447,355,344,70,36,745,700,9
936447,296,295,241,0,695,608,5
936447,725,708,166,72,1611,1381,9
936447,724,704,96,168,1632,1379,22
936447,328,325,31,108,755,636,6
936447,718,705,97,120,1632,1286,11
936447,438,434,230,0,1010,898,6
936447,443,438,162,0,991,881,9
936447,489,486,119,0,1099,974,13
936447,398,392,114,0,864,784,1
936447,350,344,148,0,818,687,6
936447,616,597,102,96,1492,1158,8
936447,350,349,97,36,773,648,5
936448,520,515,107,36,1123,1035,11
936448,345,340,58,60,749,675,11
936448,478,475,83,48,1018,952,6
936448,354,344,67,36,742,700,9
936448,296,293,190,24,688,606,7
936448,720,705,160,108,1607,1383,15
936448,722,704,16,288,1678,1386,30
936448,328,322,0,168,738,636,19
936448,714,703,107,144,1599,1296,13
936448,438,434,177,0,1003,898,13
936448,443,436,204,0,1007,881,9
936448,489,488,108,0,1097,974,11
936448,394,391,132,0,883,786,8
936448,350,343,151,12,806,685,7
936448,609,598,151,60,1462,1168,12
936448,350,343,60,36,753,648,12
559682,521,517,465,0,1367,1048,19
559682,339,337,60,96,803,684,22
559682,478,477,120,0,1279,965,19
559682,348,346,59,0,888,699,13
559682,296,294,179,288,807,632,27
559682,718,716,143,0,1867,1436,19
559682,761,640,1108,0,1746,1709,240
559682,328,316,388,0,897,726,47
559682,712,699,27,732,1924,1582,94
559682,438,436,47,144,1119,881,22
559682,441,434,214,0,1162,921,26
559682,488,487,85,0,1248,977,23
559682,393,391,7,0,995,786,17
559682,351,348,215,312,922,730,26
559682,605,596,300,540,1703,1334,81
559682,349,346,250,216,958,724,30
867042,521,518,636,0,1494,1048,40
867042,339,273,0,240,715,683,142
867042,478,474,199,0,1436,960,44
867042,348,345,101,0,900,703,31
867042,296,288,122,240,758,607,41
867042,718,707,343,0,1987,1435,58
867042,759,731,741,0,1887,1614,133
867042,328,318,360,0,852,672,51
867042,712,691,410,408,1943,1504,88
867042,437,429,59,228,1057,895,71
867042,441,436,415,0,1286,887,43
867042,488,481,208,0,1218,980,55
867042,394,390,163,0,1050,784,32
867042,350,338,172,336,888,712,56
867042,605,593,383,300,1908,1281,65
867042,350,346,263,180,946,704,34
867043,521,518,300,0,1405,1047,24
867043,339,335,248,0,921,677,20
867043,478,475,242,0,1314,963,38
867043,348,346,226,0,973,701,13
867043,296,295,258,324,947,619,21
867043,718,710,138,0,1943,1434,33
867043,762,744,1897,0,2308,1640,90
867043,328,322,707,0,1008,713,33
867043,712,698,568,384,2366,1542,75
867043,437,431,172,240,1238,888,23
867043,440,435,310,0,1243,889,23
867043,488,485,208,0,1376,976,20
867043,394,386,131,0,1043,784,19
867043,350,344,456,204,1117,711,22
867043,606,597,207,300,1960,1273,48
867043,350,348,410,120,1100,700,9
908126,521,519,317,0,1318,1043,21
908126,339,336,16,60,786,677,20
908126,478,477,102,0,1096,956,20
908126,348,348,58,0,816,697,14
908126,296,293,0,144,666,602,39
908126,718,713,160,0,1734,1433,29
908126,761,745,449,0,1926,1537,84
908126,328,325,247,0,852,667,20
908126,712,706,43,312,1767,1461,60
908126,438,431,0,144,966,877,47
908126,440,435,228,0,1078,881,18
908126,488,486,78,0,1197,979,22
908126,394,391,58,0,927,784,16
908126,350,347,0,168,795,698,27
908126,606,598,160,396,1552,1253,48
908126,350,349,0,156,856,701,22
232807,521,509,0,300,1476,1567,206
232807,340,329,108,168,880,1020,143
232807,478,475,43,444,1483,1434,63
232807,350,344,54,132,963,1051,131
232807,296,290,81,204,843,890,110
232807,718,703,163,468,2202,2153,138
232807,762,728,173,912,2352,2473,284
232807,328,323,110,384,945,991,127
232807,713,697,2,1284,2230,2226,200
232807,438,434,288,180,1238,1318,161
232807,443,435,415,228,1324,1338,88
232807,489,484,0,216,1336,1469,195
232807,394,392,155,0,1251,1178,41
232807,351,351,286,108,1108,1055,51
232807,607,600,270,792,4522,1895,129
232807,351,347,72,276,1101,1062,62
232813,521,509,0,780,1352,1570,217
232813,340,328,374,816,895,1020,138
232813,478,472,133,804,1428,1448,94
232813,350,345,167,732,938,1052,145
232813,296,283,0,444,1392,919,128
232813,717,705,1900,1428,2102,2168,159
232813,762,738,175,1872,2399,2503,272
232813,328,315,167,888,968,1049,143
232813,713,699,1607,1512,2278,2263,215
232813,438,433,682,828,1198,1317,177
232813,443,431,788,468,1296,1340,96
232813,489,482,523,792,1282,1475,219
232813,394,365,782,0,992,1179,143
232813,351,346,382,384,1062,1089,70
232813,606,586,2054,2328,1915,1980,186
232813,351,343,14,804,1096,1089,67
483167,521,484,0,312,967,1043,159
483167,343,338,195,96,720,683,35
483167,478,470,48,252,1050,956,50
483167,352,348,45,156,735,707,42
483167,296,290,55,252,640,595,48
483167,719,698,81,396,1520,1435,81
483167,740,694,0,1272,1731,1512,164
483167,328,260,0,324,543,668,148
483167,713,696,24,1092,1775,1573,129
483167,438,424,261,108,967,886,54
483167,443,438,219,156,971,889,44
483167,489,479,71,192,1050,980,68
483167,395,384,151,0,820,784,57
483167,351,332,199,108,806,719,53
483167,610,583,0,876,1387,1316,141
483167,351,333,58,312,798,709,66
697531,180,178,57,36,514,540,62
697531,216,211,50,72,623,643,70
697531,128,127,100,48,387,383,18
697531,248,248,40,96,716,745,83
697531,213,205,0,216,546,641,88
697531,402,393,117,312,1193,1199,46
697531,593,575,59,876,1748,1858,186
697531,117,115,71,96,355,354,32
697531,317,311,2,528,1019,993,52
697531,307,304,93,180,853,921,131
697531,104,103,95,36,324,313,11
697531,121,121,29,48,366,363,35
697531,99,98,39,0,293,291,11
697531,329,328,202,96,1006,992,44
697531,272,270,146,204,868,863,52
697531,122,121,58,60,372,368,19
804093,520,510,45,108,1150,657,13
804093,338,325,78,60,714,430,13
804093,475,460,77,144,1038,586,16
804093,348,341,70,108,739,430,8
804093,296,289,106,84,549,330,8
804093,712,662,330,0,1477,1002,76
804093,749,728,57,1044,1603,1014,29
804093,325,197,288,108,459,374,133
804093,700,617,0,420,1344,831,95
804093,437,423,165,96,783,512,16
804093,438,425,247,0,882,591,16
804093,488,472,76,120,988,570,22
804093,392,367,62,0,825,549,33
804093,340,324,37,216,608,419,17
804093,591,554,78,312,1001,759,44
804093,341,326,46,192,646,399,15
804094,520,470,0,192,1166,721,80
804094,338,331,8,12,756,508,11
804094,475,463,61,96,1095,652,16
804094,348,344,39,60,802,546,11
804094,296,290,154,12,625,434,9
804094,712,671,134,108,1497,1010,71
804094,758,702,0,648,1516,1100,81
804094,325,270,0,120,645,424,71
804094,700,673,137,312,1396,918,33
804094,437,430,166,84,991,679,17
804094,438,425,220,0,903,616,18
804094,488,480,123,0,992,647,13
804094,392,346,57,0,749,562,70
804094,340,320,28,228,563,383,21
804094,591,564,51,360,1081,799,33
804094,341,273,0,288,608,445,84
827731,520,503,0,684,1494,1589,194
827731,338,323,231,264,965,1025,116
827731,478,467,376,912,1613,1488,93
827731,350,343,153,252,992,1062,131
827731,296,285,238,420,953,943,117
827731,717,705,373,1176,2323,2200,135
827731,722,699,1173,1380,2531,2387,259
827731,323,311,128,516,1018,1086,128
827731,710,683,904,1992,2568,2550,247
827731,438,389,372,396,1109,1322,210
827731,441,423,806,276,1323,1376,114
827731,488,472,188,696,1384,1487,193
827731,392,386,256,0,1177,1178,71
827731,351,348,473,120,1145,1111,90
827731,605,584,1216,924,2215,2157,196
827731,350,342,106,372,1172,1140,93
892053,519,442,0,564,1180,1085,196
892053,337,321,0,288,1550,687,71
892053,475,453,181,504,1423,1008,71
892053,349,345,25,252,1112,720,40
892053,296,280,3,348,824,608,60
892053,711,661,388,636,1932,1494,152
892053,756,653,9,1260,2380,1629,194
