Missing,Basis,Missing,Missing,Missing,Balance On Hand,Balance On Order,Store Balance On Hand,Missing,Missing
201151,276778,Y,495,488,49,54,1167,786,59
201151,276778,Y,314,312,64,0,751,485,22
201151,276778,Y,453,439,54,0,1232,686,24
201151,276778,Y,318,307,66,0,633,478,39
201151,276778,Y,292,286,1,60,635,451,23
201151,276778,Y,666,658,13,60,1649,982,18
201151,276778,Y,618,612,18,192,1426,1035,58
201151,276778,Y,318,309,21,42,825,416,18
201151,276778,Y,685,639,0,90,1488,826,64
201151,276778,Y,425,418,85,54,915,702,45
201151,276778,Y,468,457,38,78,1045,667,19
201151,276778,Y,479,469,32,72,1067,738,46
201151,276778,Y,389,383,103,0,958,632,18
201151,276778,Y,418,411,72,24,1173,594,18
201151,276778,Y,591,553,0,168,1139,760,56
201151,276778,Y,296,280,0,24,656,388,23
201151,330002,Y,497,477,32,180,1044,708,37
201151,330002,Y,314,304,202,0,742,432,19
201151,330002,Y,450,439,141,0,1373,624,15
201151,330002,Y,318,290,18,0,646,437,48
201151,330002,Y,291,277,1,132,511,373,20
201151,330002,Y,662,650,170,0,2010,913,16
201151,330002,Y,617,594,137,36,1136,913,49
201151,330002,Y,318,284,0,72,570,380,39
201151,330002,Y,685,661,257,0,1416,783,28
201151,330002,Y,424,418,119,48,1017,617,21
201151,330002,Y,470,457,104,0,1284,626,18
201151,330002,Y,479,470,83,108,1108,674,24
201151,330002,Y,389,381,56,0,1100,575,10
201151,330002,Y,419,404,152,180,768,523,24
201151,330002,Y,591,571,217,60,1217,726,24
201151,330002,Y,296,284,34,36,767,369,15
201151,249816,Y,497,481,179,48,1081,628,28
201151,249816,Y,314,304,158,0,658,373,16
201151,249816,Y,453,443,187,0,975,580,16
201151,249816,Y,320,310,149,0,672,374,17
201151,249816,Y,289,278,101,96,677,428,20
201151,249816,Y,669,656,211,168,1579,844,26
201151,249816,Y,619,601,189,504,1319,780,37
201151,249816,Y,318,310,158,180,763,473,31
201151,249816,Y,683,645,341,192,1508,886,73
201151,249816,Y,433,427,58,192,1082,546,20
201151,249816,Y,470,458,207,132,990,629,24
201151,249816,Y,481,469,183,108,1058,625,20
201151,249816,Y,389,376,204,0,821,526,20
201151,249816,Y,452,432,2474,108,1158,595,39
201151,249816,Y,590,568,24,456,1372,779,45
201151,249816,Y,296,287,17,84,662,390,17
201151,308266,Y,497,489,159,108,1439,1022,44
201151,308266,Y,315,312,213,0,963,674,35
201151,308266,Y,451,447,151,0,1362,913,30
201151,308266,Y,320,315,163,0,859,652,32
201151,308266,Y,290,286,110,168,918,726,39
201151,308266,Y,667,661,133,72,2154,1360,52
201151,308266,Y,623,614,798,0,1904,1338,80
201151,308266,Y,316,313,0,192,1013,655,37
201151,308266,Y,689,680,1534,0,2415,1401,49
201151,308266,Y,429,425,34,180,1448,948,44
201151,308266,Y,468,464,247,156,1377,949,38
201151,308266,Y,481,478,160,96,1564,975,23
201151,308266,Y,387,384,140,0,1062,783,28
201151,308266,Y,454,441,498,72,1259,986,84
201151,308266,Y,591,590,1158,0,2063,1224,33
201151,308266,Y,294,293,460,0,927,609,16
201151,327095,Y,497,494,315,0,1324,752,7
201151,327095,Y,314,314,411,0,840,552,3
201151,327095,Y,453,451,721,0,1335,644,3
201151,327095,Y,320,319,994,0,863,574,8
201151,327095,Y,292,291,736,0,813,509,14
201151,327095,Y,670,670,324,0,2032,1076,8
201151,327095,Y,618,613,638,0,1635,1155,31
201151,327095,Y,317,315,1100,0,864,471,13
201151,327095,Y,684,676,1394,0,2590,1056,23
201151,327095,Y,438,436,877,0,1493,782,16
201151,327095,Y,470,467,344,0,1316,656,13
201151,327095,Y,480,477,932,0,1224,683,8
201151,327095,Y,389,389,293,0,1160,530,1
201151,327095,Y,443,440,420,0,1492,804,19
201151,327095,Y,591,585,544,0,1486,885,20
201151,327095,Y,295,293,45,0,801,441,8
201151,460400,Y,496,478,83,132,1376,1023,88
201151,460400,Y,314,307,156,0,845,705,72
201151,460400,Y,453,448,151,0,1211,911,30
201151,460400,Y,319,301,137,0,780,758,150
201151,460400,Y,292,288,168,120,914,767,66
201151,460400,Y,666,658,192,180,1875,1379,50
201151,460400,Y,618,610,237,732,1670,1364,85
201151,460400,Y,317,312,58,144,926,647,28
201151,460400,Y,685,674,202,204,2100,1392,65
201151,460400,Y,438,430,168,156,1295,1094,126
201151,460400,Y,470,467,291,0,1276,946,32
201151,460400,Y,477,474,117,96,1357,964,31
201151,460400,Y,388,382,124,0,1036,779,29
201151,460400,Y,443,435,727,96,1300,938,78
201151,460400,Y,591,587,137,276,1839,1188,35
201151,460400,Y,296,292,97,72,849,596,20
201151,460403,Y,496,491,41,84,1343,993,21
201151,460403,Y,313,310,137,0,909,630,19
201151,460403,Y,452,449,57,0,1288,907,22
201151,460403,Y,319,307,23,0,815,639,48
201151,460403,Y,292,290,15,108,822,669,32
201151,460403,Y,661,657,322,0,1864,1348,32
201151,460403,Y,616,602,171,636,1645,1323,73
201151,460403,Y,299,297,0,96,893,608,10
201151,460403,Y,644,641,598,0,2036,1304,39
201151,460403,Y,439,431,185,48,1247,919,49
201151,460403,Y,467,466,82,72,1303,939,14
201151,460403,Y,481,473,3,96,1350,965,33
201151,460403,Y,389,388,89,0,1094,784,13
201151,460403,Y,441,438,549,0,1229,947,77
201151,460403,Y,576,574,98,180,1780,1160,21
201151,460403,Y,294,285,226,0,783,591,32
201151,460423,Y,497,481,108,96,1500,1164,116
201151,460423,Y,314,310,144,0,987,770,55
201151,460423,Y,453,453,122,0,1406,1024,14
201151,460423,Y,320,317,149,0,926,751,43
201151,460423,Y,292,288,48,108,964,713,46
201151,460423,Y,669,666,59,120,2173,1553,38
201151,460423,Y,618,612,29,432,1724,1484,114
201151,460423,Y,318,316,19,84,1042,725,25
