Vendor,Fiscal Week,Cat,Item,Description,Size,UPC,DC,AIM Store Cnt,Instock Store Cnt,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,TIL,Need for TIL,Unit Cost
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,AL,401,395,98.6%,24,24,1128,802,13,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,CR,397,392,98.7%,0,54,1107,795,21,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,DT,450,447,99.3%,0,48,1405,899,29,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,EN,513,506,98.7%,18,60,1319,1026,45,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,FL,314,307,97.9%,0,54,1259,629,22,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,IN,648,636,98.2%,49,30,1886,1298,41,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,LA,776,773,99.6%,30,42,3643,1535,12,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,MA,350,347,99.3%,16,30,1123,703,15,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,NJ,658,648,98.4%,53,72,2843,1318,26,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,OR,369,364,98.5%,0,36,1065,738,20,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,PA,475,468,98.6%,48,6,1413,951,38,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,SC,494,492,99.6%,8,24,1451,988,8,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,TN,448,446,99.6%,18,24,1428,896,15,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,UC,346,344,99.4%,8,12,1608,694,5,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,WN,608,605,99.6%,40,24,2440,1216,7,8.42
10008,201513,66,276778,CVS WRKL THPY,5Z,5042806495,YK,420,412,98.1%,48,18,1600,838,49,8.42
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,AL,397,397,100.0%,23,12,1050,421,2,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,CR,394,387,98.2%,3,36,971,421,9,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,DT,445,444,99.7%,16,36,1263,473,5,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,EN,507,504,99.4%,12,60,1202,532,6,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,FL,309,303,98.1%,0,60,1143,324,8,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,IN,631,625,99.0%,0,72,1637,677,6,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,LA,796,792,99.6%,79,36,3466,855,4,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,MA,342,339,99.0%,0,60,1031,360,5,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,NJ,647,641,99.1%,39,84,2502,700,7,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,OR,365,362,99.3%,0,36,945,383,4,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,PA,472,471,99.8%,24,24,1288,515,3,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,SC,476,473,99.4%,13,36,1256,515,5,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,TN,433,431,99.5%,0,48,1104,492,5,8.15
10008,201513,66,973898,CVS PRVNTN DAY CRM,1.7Z,5042849463,UC,344,343,99.8%,20,12,1360,357,1,8.15
